Ordernumber,Toy,Quantity
0,Bird,2
1,Whale,1
2,Whale,3
3,Whale,2
4,Whale,2
5,Whale,1
6,Whale,3
7,Whale,1
8,Whale,3
9,Whale,1
10,Whale,3
11,Whale,3
12,Whale,2
13,Whale,1
14,Whale,2
15,Whale,2
16,Whale,3
17,Whale,2
18,Whale,1
19,Whale,2
20,Whale,2
21,Whale,3
22,Whale,3
23,Whale,1
24,Whale,3
25,Whale,1
26,Whale,1
27,Whale,2
28,Whale,2
29,Whale,2
30,Whale,3
31,Whale,1
32,Whale,2
33,Whale,1
34,Whale,3
35,Whale,2
36,Whale,1
37,Whale,1
38,Whale,1
39,Whale,1
40,Whale,1
41,Whale,2
42,Whale,2
43,Whale,3
44,Whale,2
45,Whale,3
46,Whale,1
47,Whale,2
48,Whale,1
49,Whale,1
50,Whale,3
51,Whale,1
52,Whale,3
53,Whale,2
54,Whale,1
55,Whale,2
56,Whale,2
57,Whale,3
58,Whale,2
59,Whale,2
60,Whale,3
61,Whale,2
62,Whale,1
63,Whale,1
64,Whale,3
65,Whale,3
66,Whale,1
67,Whale,3
68,Whale,1
69,Whale,3
70,Whale,3
71,Whale,3
72,Whale,3
73,Whale,1
74,Whale,3
75,Whale,1
76,Whale,1
77,Whale,2
78,Whale,2
79,Whale,1
80,Whale,1
81,Whale,3
82,Whale,3
83,Whale,1
84,Whale,1
85,Whale,1
86,Whale,3
87,Whale,1
88,Whale,2
89,Whale,1
90,Whale,3
91,Whale,1
92,Whale,3
93,Whale,2
94,Whale,2
95,Whale,1
96,Whale,1
97,Whale,2
98,Whale,2
99,Whale,2
100,Whale,2
101,Whale,3
102,Whale,2
103,Whale,1
104,Whale,1
105,Whale,3
106,Whale,1
107,Whale,3
108,Whale,1
109,Whale,1
110,Whale,1
111,Whale,2
112,Whale,1
113,Whale,2
114,Whale,1
115,Whale,3
116,Whale,2
117,Whale,2
118,Whale,2
119,Whale,3
120,Whale,3
121,Whale,3
122,Whale,3
123,Whale,3
124,Whale,1
125,Whale,1
126,Whale,3
127,Whale,2
128,Whale,1
129,Whale,3
130,Whale,3
131,Whale,3
132,Whale,2
133,Whale,2
134,Whale,1
135,Whale,2
136,Whale,2
137,Whale,3
138,Whale,3
139,Whale,3
140,Whale,3
141,Whale,1
142,Whale,2
143,Whale,1
144,Whale,3
145,Whale,3
146,Whale,3
147,Whale,2
148,Whale,1
149,Whale,2
150,Whale,3
151,Whale,3
152,Whale,1
153,Whale,3
154,Whale,2
155,Whale,3
156,Whale,1
157,Whale,1
158,Whale,1
159,Whale,2
160,Whale,1
161,Whale,3
162,Whale,3
163,Whale,3
164,Whale,1
165,Whale,2
166,Whale,1
167,Whale,2
168,Whale,3
169,Whale,3
170,Whale,3
171,Whale,2
172,Whale,1
173,Whale,2
174,Whale,1
175,Whale,2
176,Whale,3
177,Whale,1
178,Whale,1
179,Whale,2
180,Whale,1
181,Whale,3
182,Whale,2
183,Whale,2
184,Whale,2
185,Whale,3
186,Whale,1
187,Whale,1
188,Whale,3
189,Whale,2
190,Whale,2
191,Whale,3
192,Whale,3
193,Whale,2
194,Whale,3
195,Whale,3
196,Whale,2
197,Whale,2
198,Whale,3
199,Whale,1
200,Whale,3
201,Whale,2
202,Whale,1
203,Whale,1
204,Whale,2
205,Whale,2
206,Whale,1
207,Whale,1
208,Whale,1
209,Whale,1
210,Whale,2
211,Whale,2
212,Whale,2
213,Whale,1
